Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,,Industrials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,Industrials,Metal Fabrications
AAIC,Arlington Asset Investment Corp Class A (new),United States,Real Estate,Real Estate Investment Trusts
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,Real Estate,Real Estate Investment Trusts
AAN,Aarons Holdings Company Inc. Common Stock ,,Consumer Discretionary,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,Industrials,Metal Fabrications
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Publishing
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,Finance,Blank Checks
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,Consumer Staples,Packaged Foods
ADNT,Adient plc Ordinary Shares ,,Consumer Discretionary,Auto Parts:O.E.M.
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,,
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance
AEM,Agnico Eagle Mines Limited Common Stock,Canada,Basic Materials,Precious Metals
AENZ,Aenza S.A.A. American Depositary Shares,,Industrials,Military/Government/Technical
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Class A Common Stock,,Industrials,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,,Consumer Discretionary,Auto Parts:O.E.M.
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,,Finance,Blank Checks
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,Basic Materials,Precious Metals
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,Finance,Blank Checks
AGCO,AGCO Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AGI,Alamos Gold Inc. Class A Common Shares,Canada,Basic Materials,Precious Metals
AGL,agilon health inc. Common Stock,,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Finance,Real Estate
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts
AI,C3.ai Inc. Class A Common Stock,,Technology,Computer Software: Prepackaged Software
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance
AIN,Albany International Corporation Common Stock,United States,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,Finance,Finance/Investors Services
AIR,AAR Corp. Common Stock,United States,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,,Real Estate,Real Estate Investment Trusts
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Consumer Discretionary,Industrial Specialties
AIU,Meta Data Limited ADS,,Consumer Discretionary,Educational Services
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,Industrials,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,Consumer Discretionary,Catalog/Specialty Distribution
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
